Name,Company,Category,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,In-app Products,Permissions,Report,Offered By,Developer,Eligible for Family Library
Pirates Outlaws,Fabled Game,Card,"April 1, 2022",163.0,"500,000+",3.53,6.0 and up,Everyone 10+Fantasy ViolenceLearn more,In-Game Purchases,$1.99 - $8.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Fabled Game,"Eligible if bought after 7/2/2016.
Learn More"
Dawncaster: Deckbuilding RPG,Wanderlost Interactive,Card,"May 21, 2022",850.0,"5,000+",1.4.08,5.1 and up,"TeenViolence, BloodLearn more",,$4.99 - $5.49 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Wanderlost Interactive,"Eligible if bought after 7/2/2016.
Learn More"
Reigns,DevolverDigital,Card,"October 15, 2019",75.0,"1,000,000+",1.17,4.1 and up,"TeenViolence, BloodLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,DevolverDigital,"Eligible if bought after 7/2/2016.
Learn More"
Meteorfall: Krumit's Tale,Slothwerks,Card,"April 30, 2021",151.0,"10,000+",1.0.192,4.1 and up,"Everyone 10+Fantasy Violence, Alcohol ReferenceLearn more",,$1.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Slothwerks,"Eligible if bought after 7/2/2016.
Learn More"
Reigns: Her Majesty,DevolverDigital,Card,"October 15, 2019",91.0,"100,000+",1.0,4.1 and up,"TeenViolence, BloodLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,DevolverDigital,Learn More
Solitaire Classic - No Ads,Card Game Pro,Card,"March 31, 2020",22.0,"1,000+",1.0.0,4.1 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Card Game Pro,"Eligible if bought after 7/2/2016.
Learn More"
SET Mania,PlayMonster LLC,Card,"February 9, 2022",38.0,500+,1.4,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,PlayMonster LLC,"Eligible if bought after 7/2/2016.
Learn More"
"Lophis Roguelike:Card RPG game,Darkest Dungeon",DreamSky,Card,"July 21, 2020",83.0,"500,000+",1.3.4,4.1 and up,TeenLearn more,Digital Purchases,$0.99 - $14.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,DreamSky,"Eligible if bought after 7/2/2016.
Learn More"
FreeCell Solitaire+,Brainium Studios,Card,"February 24, 2022",Varies with device,"10,000+",Varies with device,Varies with device,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Brainium Studios,Learn More
Decked Builder,Decked Studios,Card,"November 11, 2020",Varies with device,"50,000+",Varies with device,Varies with device,TeenViolenceLearn more,,$2.02 - $4.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Decked Studios,"Eligible if bought after 7/2/2016.
Learn More"
Kemono Mahjong,CyberDog Software,Card,"April 28, 2022",40.0,"10,000+",1.15.03,6.0 and up,EveryoneLearn more,,$0.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,CyberDog Software,"Eligible if bought after 7/2/2016.
Learn More"
Governor of Poker 2 Premium,Youda Games Holding B.V.,Card,"June 16, 2020",55.0,"50,000+",3.0.18,4.2 and up,TeenSimulated GamblingLearn more,Digital Purchases,$1.50 - $15.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Youda Games Holding B.V.,"Eligible if bought after 7/2/2016.
Learn More"
Solitaire Pro,AI Factory Limited,Card,"December 6, 2021",12.0,"10,000+",1.391,4.4 and up,TeenSimulated GamblingLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,AI Factory Limited,Learn More
Euchre Pro,AI Factory Limited,Card,"December 6, 2021",9.1,"10,000+",1.411,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,AI Factory Limited,Learn More
Mystic Vale,Nomad Games,Card,"April 27, 2020",58.0,"10,000+",4.0.2,4.4 and up,EveryoneLearn more,,$0.99 - $2.49 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Nomad Games,"Eligible if bought after 7/2/2016.
Learn More"
Blackjack Watch Face,GameFace,Card,"October 25, 2018",Varies with device,100+,Varies with device,6.0 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,GameFace,"Eligible if bought after 7/2/2016.
Learn More"
Solitaire Collection Premium,Ruben Reboredo,Card,"December 30, 2020",Varies with device,"10,000+",Varies with device,Varies with device,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Ruben Reboredo,Learn More
The Fox in the Forest,Dire Wolf Digital,Card,"November 16, 2021",105.0,500+,1.0.2,7.0 and up,EveryoneLearn more,Users Interact,,View details,ReportFlag as inappropriate,Flag as inappropriate,Dire Wolf Digital,"Eligible if bought after 7/2/2016.
Learn More"
Blackjack Coach,Intellifactor,Card,"September 23, 2016",6.6,"1,000+",2.5,2.2 and up,TeenSimulated GamblingLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Intellifactor,"Eligible if bought after 7/2/2016.
Learn More"
Cat Lady - The Card Game,Nomad Games,Card,"January 13, 2022",52.0,"5,000+",2.4.1,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Nomad Games,"Eligible if bought after 7/2/2016.
Learn More"
All-in-One Solitaire Pro,Pozirk Games Inc.,Card,"May 18, 2022",17.0,"1,000+",1.11.2,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Pozirk Games Inc.,"Eligible if bought after 7/2/2016.
Learn More"
6 takes!,Application Systems Heidelberg,Card,"October 29, 2020",45.0,"10,000+",1.38.0,4.3 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Application Systems Heidelberg,"Eligible if bought after 7/2/2016.
Learn More"
Euchre,Jeffreys Software,Card,"February 17, 2022",4.6,"10,000+",4.0.7,4.1 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Jeffreys Software,Learn More
Hearts Pro,AI Factory Limited,Card,"November 25, 2021",8.7,"10,000+",1.371,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,AI Factory Limited,Learn More
Poker With Bob,Scary Robot,Card,"May 14, 2019",55.0,"1,000+",2.0.6,4.1 and up,TeenSimulated GamblingLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Scary Robot,"Eligible if bought after 7/2/2016.
Learn More"
San Juan,Ravensburger Verlag GmbH,Card,"June 18, 2020",70.0,"10,000+",2.6,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Ravensburger Verlag GmbH,"Eligible if bought after 7/2/2016.
Learn More"
Hardwood Solitaire IV Pro,Silver Creek Entertainment,Card,"January 31, 2021",Varies with device,"10,000+",Varies with device,Varies with device,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Silver Creek Entertainment,"Eligible if bought after 7/2/2016.
Learn More"
Sort-O - Rack Sorting Card Game,Wolf Mobile,Card,"May 28, 2019",76.0,500+,1.21,5.0 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Wolf Mobile,"Eligible if bought after 7/2/2016.
Learn More"
Morels,Mossbark Games LLC,Card,"May 13, 2019",52.0,"1,000+",1.10.04,5.0 and up,EveryoneLearn more,In-Game Purchases,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Mossbark Games LLC,"Eligible if bought after 7/2/2016.
Learn More"
Texas 42,Maroon Entertainment,Card,"June 28, 2015",11.0,"5,000+",2.0.9,2.3 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Maroon Entertainment,"Eligible if bought after 7/2/2016.
Learn More"
Dark Mist,Pixel Cattle Games,Card,"May 30, 2021",103.0,"1,000+",1.0.1,4.1 and up,"TeenFantasy Violence, Mild BloodLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Pixel Cattle Games,"Eligible if bought after 7/2/2016.
Learn More"
Solitaire+,Brainium Studios,Card,"February 22, 2022",Varies with device,"100,000+",Varies with device,Varies with device,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Brainium Studios,Learn More
Solitaire Pro,Dinobyte Studios,Card,"August 2, 2019",4.9,"1,000+",4.14,4.0 and up,TeenSimulated GamblingLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Dinobyte Studios,"Eligible if bought after 7/2/2016.
Learn More"
Solitaire Grand Harvest,Supertreat - A Playtika Studio,Card,"May 17, 2022",175.0,"10,000,000+",1.112.2,4.1 and up,EveryoneLearn more,Digital Purchases,$0.99 - $149.90 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Supertreat - A Playtika Studio,
Tiki Solitaire TriPeaks,"GSN Games, Inc.",Card,"April 27, 2022",121.0,"10,000,000+",9.9.2.85802,5.0 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"GSN Games, Inc.",
WSOP - Poker Games Online,Playtika,Card,"May 16, 2022",165.0,"50,000,000+",9.9.0,5.0 and up,TeenSimulated GamblingLearn more,"Users Interact, In-Game Purchases",$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Playtika,
Zynga Poker- Texas Holdem Game,Zynga,Card,"April 20, 2022",110.0,"50,000,000+",22.36.2216,4.4 and up,TeenSimulated GamblingLearn more,"Users Interact, In-Game Purchases",$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Zynga,
Phase 10: World Tour,Mattel163 Limited,Card,"May 19, 2022",63.0,"5,000,000+",1.5.2478,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Mattel163 Limited,
Solitaire Home Design,Betta Games,Card,"May 20, 2022",79.0,"1,000,000+",1.0.71,9 and up,EveryoneLearn more,,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Betta Games,
Magic: The Gathering Arena,Wizards of the Coast LLC,Card,"May 3, 2022",125.0,"1,000,000+",2022.15.10.1345,6.0 and up,"TeenBlood and Gore, Mild Fantasy ViolenceLearn more","Users Interact, In-Game Purchases",$4.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Wizards of the Coast LLC,
Spades Plus - Card Game,Zynga,Card,"May 12, 2022",107.0,"10,000,000+",6.9.13,4.4 and up,TeenSimulated GamblingLearn more,"Users Interact, Digital Purchases",$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Zynga,
Yu-Gi-Oh! Master Duel,KONAMI,Card,"May 6, 2022",173.0,"1,000,000+",1.1.1,6.0 and up,"TeenViolence, Blood, Suggestive ThemesLearn more",In-Game Purchases (Includes Random Items),$0.99 - $79.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,KONAMI,
Yu-Gi-Oh! Duel Links,KONAMI,Card,"May 11, 2022",79.0,"50,000,000+",6.7.0,5.0 and up,TeenLanguageLearn more,"Users Interact, Shares Info, Digital Purchases",$0.99 - $49.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,KONAMI,
Gin Rummy Stars - Card Game,Beach Bum Ltd.,Card,"May 18, 2022",96.0,"1,000,000+",2.4.102,5.0 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $384.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Beach Bum Ltd.,
Idle Huntress：Adventure,BluStar Games Limited,Card,"May 5, 2022",1200.0,"100,000+",1.0.4,7.0 and up,"TeenViolence, Blood, Suggestive ThemesLearn more","Users Interact, In-Game Purchases (Includes Random Items)",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,BluStar Games Limited,
Hearthstone,"Blizzard Entertainment, Inc.",Card,"May 12, 2022",108.0,"50,000,000+",23.2.138759,7.0 and up,TeenFantasy ViolenceLearn more,"Users Interact, Digital Purchases",$0.99 - $79.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Blizzard Entertainment, Inc.",
Holdem or Foldem - Texas Poker,Forever9 Games,Card,"May 20, 2022",245.0,"1,000,000+",1.5.7,5.0 and up,TeenSimulated GamblingLearn more,"Users Interact, In-Game Purchases",$0.99 - $129.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Forever9 Games,
Gin Rummy Plus,Zynga,Card,"April 29, 2022",164.0,"10,000,000+",8.9.0,5.0 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.49 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Zynga,
Poker Live: Texas Holdem Poker,FunPlus International AG,Card,"April 29, 2022",158.0,"100,000+",1.3.9,5.1 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,FunPlus International AG,
Poker Face: Texas Holdem Poker,Comunix Ltd,Card,"May 17, 2022",156.0,"1,000,000+",1.5.1,5.0 and up,TeenSimulated GamblingLearn more,"Users Interact, In-Game Purchases",$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Comunix Ltd,
Mega Hit Poker: Texas Holdem,"Wonder People Co.,Ltd.",Card,"December 23, 2021",Varies with device,"1,000,000+",3.11.9,5.0 and up,TeenSimulated GamblingLearn more,Digital Purchases,$0.99 - $299.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Wonder People Co.,Ltd.",
Solitaire Story - Ava's Manor,Uken Games,Card,"May 18, 2022",146.0,"1,000,000+",29.0.3,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Uken Games,
"Cards, Universe & Everything",Avid Games,Card,"May 19, 2022",197.0,"1,000,000+",2.6.17,5.1 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Avid Games,
Texas Hold'em Poker: Pokerist,KamaGames,Card,"April 29, 2022",137.0,"10,000,000+",46.3.0,4.4 and up,"TeenUse of Alcohol and Tobacco, Simulated GamblingLearn more","Users Interact, Shares Location, Digital Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,KamaGames,
Governor of Poker 3 - Texas,Youda Games Holding B.V.,Card,"May 12, 2022",185.0,"5,000,000+",9.0.0,5.0 and up,TeenSimulated GamblingLearn more,"Users Interact, In-Game Purchases",$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Youda Games Holding B.V.,
Pyramid Solitaire Saga,King,Card,"May 9, 2022",73.0,"10,000,000+",1.124.0,4.4 and up,EveryoneLearn more,"Users Interact, Shares Info, Digital Purchases",$0.99 - $59.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,King,
Skip-Bo,Mattel163 Limited,Card,"April 27, 2022",71.0,"1,000,000+",1.1.9467,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Mattel163 Limited,
Blackjack 21: Blackjackist,KamaGames,Card,"April 29, 2022",147.0,"10,000,000+",46.3.0,4.4 and up,TeenSimulated GamblingLearn more,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,KamaGames,
Poker Heat™ Texas Holdem Poker,Playtika,Card,"March 28, 2022",Varies with device,"5,000,000+",4.47.0,4.1 and up,TeenSimulated GamblingLearn more,"Users Interact, Digital Purchases",$0.99 - $200.00 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Playtika,
Solitaire : TriPeaks Farm,ME2ZEN Limited,Card,"May 7, 2022",242.0,"5,000,000+",1.2347.0,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,ME2ZEN Limited,
新射鵰群俠傳之鐵血丹心,SuperNova Game,Card,"April 13, 2022",855.0,"100,000+",1.6.3,5.0 and up,"TeenViolence, BloodLearn more",,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SuperNova Game,
PokerGaga: Poker & Video Chat,Onecent Technology,Card,"May 7, 2022",125.0,"100,000+",2.5.7,5.0 and up,TeenSimulated GamblingLearn more,"Users Interact, In-Game Purchases",$0.99 - $299.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Onecent Technology,
Tarbi3ah Baloot – Arabic game,zp,Card,"May 16, 2022",75.0,"1,000,000+",1.174.0,4.2 and up,EveryoneLearn more,"Users Interact, Shares Location, In-Game Purchases (Includes Random Items)",$0.49 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,zp,
"Jawaker Tarneeb, Chess & Trix",Jawaker,Card,"May 19, 2022",90.0,"10,000,000+",21.0.2,4.4 and up,EveryoneComic MischiefLearn more,"Users Interact, In-Game Purchases",$0.49 - $299.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Jawaker,
Fairway Solitaire - Card Game,Big Fish Games,Card,"December 6, 2021",93.0,"5,000,000+",1.47.0,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $119.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Big Fish Games,
"Pokerrrr 2 - Holdem, OFC, Stud",PT.farm Inc.,Card,"May 13, 2022",103.0,"1,000,000+",4.9.16,4.1 and up,TeenSimulated GamblingLearn more,"Users Interact, In-Game Purchases",$1.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,PT.farm Inc.,
Solitaire Showtime,"Jam City, Inc.",Card,"April 20, 2022",139.0,"1,000,000+",24.3.4,4.4 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Jam City, Inc.",
Undersea Solitaire Tripeaks,Plarium Global Ltd,Card,"April 26, 2022",164.0,"1,000,000+",1.33.0,6.0 and up,EveryoneLearn more,,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Plarium Global Ltd,
Vanguard ZERO,Bushiroad International Pte Ltd_,Card,"May 1, 2022",64.0,"500,000+",2.61.0,4.4 and up,Everyone 10+Fantasy ViolenceLearn more,In-Game Purchases,$0.99 - $79.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Bushiroad International Pte Ltd_,
Game of Heroes: Three Kingdoms,QI XI ENTERTAINMENT (HK) LTD.,Card,"April 19, 2022",891.0,"100,000+",2.5.6,4.4 and up,"TeenViolence, BloodLearn more",,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,QI XI ENTERTAINMENT (HK) LTD.,
Solitaire TriPeaks - Classic,"Card Games, Inc",Card,"April 25, 2022",85.0,"1,000,000+",2.6.0,5.0 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Card Games, Inc",
PokerStars: Texas Holdem Games,Stars Mobile Limited,Card,"May 4, 2022",112.0,"10,000,000+",3.52.4,5.0 and up,TeenSimulated GamblingLearn more,"Users Interact, Shares Location, Digital Purchases",$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Stars Mobile Limited,
Ultimate X Poker™ Video Poker,VideoPoker.com,Card,"May 16, 2022",42.0,"10,000+",1.6.0,4.4 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$2.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,VideoPoker.com,
4Win Blackout Bingo,Vallyplaza,Casino,"May 12, 2022",101.0,"500,000+",1.2.4,4.4 and up,TeenSimulated GamblingLearn more,In-Game Purchases,,View details,ReportFlag as inappropriate,Flag as inappropriate,Vallyplaza,
Slotomania™ Casino Slots Games,Playtika,Casino,"May 19, 2022",Varies with device,"50,000,000+",6.54.1,5.0 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Playtika,
Jackpot World™ - Slots Casino,SpinX Games Limited,Casino,"April 14, 2022",Varies with device,"10,000,000+",Varies with device,4.4 and up,TeenSimulated GamblingLearn more,"Users Interact, In-Game Purchases",$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SpinX Games Limited,
Jackpot Master™ Slots,Zeroo Gravity Games,Casino,"May 21, 2022",128.0,"1,000,000+",2.0.13,4.4 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $300.00 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Zeroo Gravity Games,
Match To Win: Win Real Cash,Rewardify,Casino,"May 16, 2022",112.0,"5,000,000+",1.5.5,5.0 and up,TeenSimulated GamblingLearn more,,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Rewardify,
Quick Hit Casino Slot Games,SciPlay,Casino,"April 6, 2022",134.0,"10,000,000+",3.00.26,4.1 and up,TeenSimulated GamblingLearn more,Digital Purchases,$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SciPlay,
Cash Frenzy™ - Casino Slots,SpinX Games Limited,Casino,"May 20, 2022",128.0,"10,000,000+",2.52,4.4 and up,"TeenSimulated Gambling, Use of TobaccoLearn more","Users Interact, In-Game Purchases",$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SpinX Games Limited,
DoubleDown Casino Vegas Slots,DoubleDown Interactive LLC,Casino,"May 10, 2022",Varies with device,"10,000,000+",4.9.60,Varies with device,"TeenSuggestive Themes, Simulated GamblingLearn more","Shares Info, Digital Purchases",$0.99 - $349.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,DoubleDown Interactive LLC,
Cashman Casino Las Vegas Slots,Product Madness,Casino,"May 18, 2022",192.0,"10,000,000+",2.59.438,5.0 and up,TeenSimulated GamblingLearn more,Digital Purchases,$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Product Madness,
Treasure Slots,DIGGER117,Casino,"May 10, 2022",126.0,"10,000+",1.0.13,6.0 and up,TeenSimulated GamblingLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,DIGGER117,
MGM Slots Live - Vegas Casino,PLAYSTUDIOS INC,Casino,"May 19, 2022",Varies with device,"1,000,000+",2.58.18905,5.0 and up,TeenSimulated GamblingLearn more,"Users Interact, In-Game Purchases",$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,PLAYSTUDIOS INC,
Club Vegas Slots: Casino Games,Bagelcode: Social Casino & Slot Machine Games,Casino,"April 28, 2022",147.0,"10,000,000+",134.0.2,4.4 and up,TeenSimulated GamblingLearn more,"Users Interact, Digital Purchases",$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Bagelcode: Social Casino & Slot Machine Games,
Cash Fire - Vegas Casino Slots,Big game,Casino,"May 12, 2022",99.0,"100,000+",1.15.2,5.0 and up,TeenSimulated GamblingLearn more,,$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Big game,
Lucky Day,"Lucky Day Entertainment, Inc.",Casino,"March 16, 2022",194.0,"10,000,000+",8.3.0,5.0 and up,TeenSimulated GamblingLearn more,,$2.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Lucky Day Entertainment, Inc.",
Game of Thrones Slots Casino,Zynga,Casino,"May 18, 2022",Varies with device,"1,000,000+",1.1.4012,5.0 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Zynga,
Huuuge Casino Slots Vegas 777,Huuuge Games - Play Together,Casino,"May 11, 2022",100.0,"10,000,000+",8.5.4401,5.0 and up,TeenSimulated GamblingLearn more,"Users Interact, Digital Purchases",$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Huuuge Games - Play Together,
Slots: Heart of Vegas Casino,Product Madness,Casino,"April 28, 2022",160.0,"10,000,000+",4.51.135,5.0 and up,TeenSimulated GamblingLearn more,Digital Purchases,$0.99 - $249.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Product Madness,
Slots Era - Jackpot Slots Game,Murka Games Limited,Casino,"April 29, 2022",131.0,"5,000,000+",2.5.1,4.4 and up,"TeenSuggestive Themes, Partial Nudity, Simulated GamblingLearn more",Digital Purchases,$0.99 - $299.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Murka Games Limited,
Jackpot Party Casino Slots,SciPlay,Casino,"May 16, 2022",126.0,"10,000,000+",5031.00,4.1 and up,TeenSimulated GamblingLearn more,In-Game Purchases (Includes Random Items),$0.99 - $249.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SciPlay,
Rolling Luck: Win Real Money,Shape Keeper Ltd,Casino,"May 18, 2022",52.0,"1,000,000+",1.2.0,5.0 and up,TeenSimulated GamblingLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Shape Keeper Ltd,
Cash Tornado™ Slots - Casino,Zeroo Gravity Games,Casino,"March 20, 2022",127.0,"5,000,000+",1.6.3,4.4 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $300.00 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Zeroo Gravity Games,
Pulsz: Fun Slots & Casino,Yellow Social Interactive Limited,Casino,"March 29, 2022",90.0,"100,000+",1.47,7.0 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$1.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Yellow Social Interactive Limited,
Bingo Day-Slots Bingo Game,Chalet game,Casino,"May 7, 2022",96.0,"10,000+",1.0.4,5.0 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Chalet game,
DoubleU Casino™ - Vegas Slots,DoubleUGames,Casino,"May 17, 2022",114.0,"10,000,000+",7.3.0,4.1 and up,TeenSimulated GamblingLearn more,"Users Interact, Digital Purchases",$0.99 - $299.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,DoubleUGames,
Cash Bash Casino - Vegas Slots,SpinX Games Limited,Casino,"April 22, 2022",162.0,"500,000+",1.6.016,5.0 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SpinX Games Limited,
Rock N' Cash Vegas Slot Casino,Flysher Inc.,Casino,"April 18, 2022",57.0,"1,000,000+",1.50.0,4.2 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Flysher Inc.,
Vegas Friends - Slots Casino,SpinX Games Limited,Casino,"May 10, 2022",128.0,"1,000,000+",1.1.013,4.4 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SpinX Games Limited,
Gold Fish Casino Slot Games,SciPlay,Casino,"May 18, 2022",100.0,"10,000,000+",33.0.0,4.4 and up,TeenSimulated GamblingLearn more,In-Game Purchases,$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SciPlay,
Classic Slots™ - Casino Games,Slots Limited,Casino,"May 16, 2022",127.0,"1,000,000+",1.0.599,5.0 and up,TeenSimulated GamblingLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Slots Limited,
